id;question;options;correctAnswer;Category
287;Which action is performed by a service provider?;['Requesting required service actions', 'Authorizing budget for service consumption', 'Ensuring access to agreed resources', 'Receiving of the agreed goods'];Ensuring access to agreed resources;service
288;Which statement about 'continual improvement' is CORRECT?;"[""All improvement ideas should be logged in a single 'continual improvement register'"", ""A single team should carry out 'continual improvement' across the organization"", ""'Continual improvement' should have minimal interaction with other practices"", ""Everyone in the organization is responsible for some aspects of 'continual improvement'""]";Everyone in the organization is responsible for some aspects of 'continual improvement';guiding principle
289;Which step of the continual improvement model includes baseline assessments?;['Did we get there?', 'Where are we now?', 'What is the vision?', 'Where do we want to be?'];Where do we want to be?;guiding principle
290;Which describes a 'change authority'?;['A model used to determine who will assess a change', 'A person who approves a change', 'A tool used to help changes', 'A way to manage the people aspects of change'];A person who approves a change;chenge
291;Which is NOT a component of the service value system?;['The service value chain', 'Opportunity and demand', 'Continual improvement', 'Governance'];Opportunity and demand;service
292;Which practice has a strong influence on the user experience and perception of the service provider?;['Service desk', 'Change enablement', 'Service level management', 'Supplier management'];Service level management;management
293;Which statement about service relationship management is CORRECT?;['It focuses on the service actions performed by users', 'It requires the service consumer to create resources for the service provider', 'It requires co-operation of both the service provider and service consumer', 'It focuses on the fulfilment of the agreed service actions'];It requires co-operation of both the service provider and service consumer;management
294;What is the MOST important reason for prioritizing incidents?;['To ensure that user expectations are realistic', 'To ensure that incidents with highest impact are resolved first', 'To help information-sharing are learning', 'To provide links to related changes and known errors'];To ensure that incidents with highest impact are resolved first;problem/incident/emergency
295;Which 'service level management' activity helps staff to deliver a more business-focused service?;['Creating targets based on the percentage of uptime of a service', 'Understanding the ongoing requirements of customers', 'Using complex technical terminology in service level agreements (SLAs)', 'Measuring low-level operational activities'];Understanding the ongoing requirements of customers;management
296;Which practice has a purpose that includes the handling of pre-defined, user-initiated demands for service?;['Service request management', 'Service configuration management', 'Deployment management', 'Change enablement'];Service request management;service desk
297;Which guiding principle considers which parts of an existing process should be kept by identifying how they contribute to value creation?;['Progress iteratively with feedback', 'Collaborate and promote visibility', 'Think and work holistically', 'Keep it simple and practical'];Keep it simple and practical;guiding principle
298;What is the purpose of the 'monitoring and event management' practice?;['To restore normal service operation as quickly as possible', 'To manage workarounds and known errors', 'To capture demand for incident resolution and service requests', 'To systematically observe services and service components'];To systematically observe services and service components;management
299;Which statement about outcome is CORRECT?;['Outcomes rely on outputs to deliver results for a stakeholder', 'Outcomes use activities to produce tangible or intangible deliverables', 'Outcomes give service consumers assurance of products or services', 'Outcomes help a service consumer to assess the cost of a specific activity'];Outcomes rely on outputs to deliver results for a stakeholder;service
300;Which skill is required by the 'service level management' practice?;['Supplier management', 'Technical expertise', 'Event monitoring', 'Problem management'];Supplier management;management
301;Which statement about the 'continual improvement model' is CORRECT?;['Organizations should work through the steps of the model in the sequence in which they are presented', 'The flow of the model helps organizations to link improvements to its goals', 'The model is applicable to only certain parts of the service value system', 'Organizations should use an additional model or method to link improvements to customer value'];The flow of the model helps organizations to link improvements to its goals;guiding principle
302;What is the definition of warranty?;['A means of identifying events that could cause harm or loss', 'A means of determining whether a service is fit for purpose', 'A means of identifying a result for a stakeholder', 'A means of determining whether a service is fit for use'];A means of determining whether a service is fit for use;service
303;Which practice has a purpose that includes managing risks to confidentiality, integrity and availability?;['Information security management', 'Change enablement', 'Problem management', 'Service configuration management'];Information security management;management
304;Which statement about value creating activities is CORRECT?;['Each value stream should be designed with a specific combination of service value chain activities', 'Service value chain activities have pre-determined dependencies on ITIL practices', 'A value stream is an operating model for creating value through products and services', 'Organizations should ensure that each value stream is applicable to many scenarios'];Each value stream should be designed with a specific combination of service value chain activities;value chain
305;Which is provided by the 'engage' value chain activity?;['Ensuring that stakeholder expectations for quality are met', 'Ensuring that stakeholder needs are understood by the organization', 'Ensuring that service components are available when needed', 'Ensuring that services are operated to meet agreed specifications'];Ensuring that stakeholder needs are understood by the organization;value chain
306;Which is part of the 'focus on value' guiding principle?;['Understanding what services help the service consumer', 'Reducing the number of steps in the customer experience', 'Assessing services to identify parts that can be reused', 'Identifying activities that can be achieved in smaller iterations'];Understanding what services help the service consumer;guiding principle
307;Which is part of the definition of a customer?;['The role that defines the requirements for a service', 'A means of enabling value co-creation', 'The role that authorizes budget for service consumption', 'A set of specialized organizational capabilities for enabling value'];The role that defines the requirements for a service;service
308;Which guiding principle helps an organization to understand the impact of an altered element on other elements in a system?;['Focus on value', 'Start where you are', 'Think and work holistically', 'Keep it simple and practical'];Think and work holistically;guiding principle
309;Identify the missing words in the following sentence.<br>The 'incident management' practice should maintain [?] for logging and managing incidents.;['a dedicated team', 'a formal process', 'detailed procedures', 'a value chain activity'];detailed procedures;problem/incident/emergency
310;An organization asks a stakeholder to review a planned change. Which guiding principle does this demonstrate?;['Collaborate and promote visibility', 'Start where you are', 'Focus on value', 'Keep it simple and practical'];Collaborate and promote visibility;guiding principle
311;What is the purpose of the 'deployment management' practice?;['To protect the information needed by the organization to conduct its business', 'To make new and changed services and features available for use', 'To move new or changed components to live environments', 'To plan and manage the full lifecycle of all IT assets.'];To move new or changed components to live environments;management
312;Which two statements about the guiding principles are CORRECT?<br>1. The guiding principles support continual improvement<br>2. Each guiding principle applies to a selection of the available stakeholder groups<br>3. Organizations should decide which one of the guiding principles is relevant to them<br>4. Organizations should consider how the guiding principles interact with each other;['1 and 2', '2 and 3', '3 and 4', '1 and 4'];1 and 4;guiding principle
313;Which statement about change authorities is CORRECT?;['Change authorities are only required for authorizing emergency changes', 'Change authorities are assigned when each change is deployed', 'Change authorities are only required for authorizing normal changes', 'Change authorities are assigned for each type of change and change model'];Change authorities are assigned for each type of change and change model;chenge
314;When is the earliest that a workaround can be documented in 'problem management'?;['After the problem has been logged', 'After the problem has been prioritized', 'After the problem has been analyzed', 'After the problem has been resolved'];After the problem has been analyzed;problem/incident/emergency
315;Which is an activity of 'problem identification'?;['Analyzing information from software developers', 'Establishing problem workarounds', 'Analyzing the cause of problems', 'Establishing potential permanent solutions'];Analyzing information from software developers;problem/incident/emergency
316;Which practice uses technologies such as intelligent telephony systems, a knowledge base and monitoring tools?;['Service configuration management', 'Service desk', 'Problem management', 'Deployment management'];Service desk;service desk
317;Which statement about standard changes is CORRECT?;['A full assessment should be completed each time the change is implemented', 'The change can be implemented with less testing if necessary', 'The appropriate change authority should be assigned to each type of change', 'The change does not require additional authorization'];The change does not require additional authorization;chenge
318;Which two are considered part of the 'organizations and people' dimension of service management?<br>1. Systems of authority<br>2. Culture<br>3. Relationships between organizations<br>4. Workflows;['1 and 2', '2 and 3', '3 and 4', '1 and 4'];1 and 2;management
319;Which statement about the 'service request management' practice is CORRECT?;['Service requests are fulfilled using simple workflows', 'A new workflow is created for each type of request', 'Additional approval is sometimes needed for restoration of service', 'Financial authorization is sometimes required for service requests'];Service requests are fulfilled using simple workflows;service desk
320;What is a cause, or potential cause, of one or more incidents?;['A configuration item', 'A workaround', 'An incident', 'A problem'];A problem;problem/incident/emergency
321;Which statement about a service value stream is CORRECT?;['it uses inputs and outputs prescribed by ITIL', 'It is a service value chain activity', 'It integrates practices for a specific scenario', 'It provides an operating model for service providers'];It integrates practices for a specific scenario;service
322;What term is used to describe whether a service will meet availability, capacity and security requirements?;['Outcomes', 'Value', 'Utility', 'Warranty'];Warranty;service
323;Identify the missing word in the following sentences.<br>A service is a means of enabling value co-creation by facilitating [?] that customers want to achieve, without the customer having to manage specific costs and risks.;['utility', 'warranty', 'outcomes', 'outputs'];outcomes;service
324;A service offering may include, access to resources, and service actions, which is an example of a service action?;['A mobile phone enables a user to work remotely', 'A password allows a user connect to a Wifi network', 'A license allows a user to install a software product', 'A service desk agent provides support to user.'];A service desk agent provides support to user.;service
325;Which activity is part of the 'continual improvement practice?;['handing compliments and complaints from user to identify improvements.', 'Improving relationships with and between stakeholders.', 'Prioritizing and creating business cases for improvement initiatives.', 'Identifying the cause unplanned interruptions to service.'];Prioritizing and creating business cases for improvement initiatives.;guiding principle
326;Which Practice includes management of workarounds and known errors?;['Monitoring and event management', 'Service configuration management', 'Problem management', 'Incident management'];Problem management;problem/incident/emergency
327;Which Guiding principle says that it is not usually necessary to build something new?;['Focus on value', 'start where you are', 'Progress iteratively with feedback', 'Think and work holistically'];start where you are;guiding principle
328;How are target resolution times used in the 'incident management' practice?;['They are agreed, documented, and communicated to help set user expectations', 'They are established, reviewed, and reported to ensure that customers are happy with the service', 'They are initiated, approved, and managed to ensure that predictable responses are achieved', 'They are scheduled, assessed and authorized to reduce the risk of service failures'];They are agreed, documented, and communicated to help set user expectations;problem/incident/emergency
329;Which statement about managing incidents is CORRECT?;"['Low impact incidents should be resolved efficiently, making logging unnecessary', ""The 'incident management' practice should use a single process regardless of the impact of the incident"", 'Low impact incidents should be resolved efficiently so the resource required is reduced', 'Incidents with the lowest impact should be resolved first']";Low impact incidents should be resolved efficiently so the resource required is reduced;problem/incident/emergency
330;Which statement about the service value chain is CORRECT?;['The service value chain converts value into demand', 'Each value chain activity uses different combinations of practices to convert inputs into outputs', 'Each value chain activity identifies a requirement for resources from an external supplier', 'The service value chain uses value streams to describe a combination of consumers and providers'];Each value chain activity uses different combinations of practices to convert inputs into outputs;value chain
331;What describes how components and activities work together to facilitate value creation?;['The ITIL service value system', 'The ITIL guiding principles', 'The four dimensions of service management', 'A service relationship'];The ITIL service value system;value chain
332;Which practice involves the management of vulnerabilities that were not identified before the service went live?;['Service request management', 'Problem management', 'Change control', 'Service level management'];Problem management;problem/incident/emergency
333;What should be considered as part of the 'partners and suppliers' dimension?;['The level of integration and formality involved in the relationships between organizations', 'The activities, workflows, controls and procedures needed to achieve the agreed objectives', 'The information created, managed and used in the course of service provision and consumption', 'The required skills and competencies of teams and individual members of the organization'];The level of integration and formality involved in the relationships between organizations;service
334;Which is a recommendation of the guiding principle 'think and work holistically'?;['Conduct a review of existing service management practices and decide what to keep and what to discard', 'Review how an improvement initiative can be organized into smaller, manageable sections that can be completed in a timely manner', 'Review service management practices and remove any unnecessary complexity', 'Use the four dimensions of service management to ensure coordination of all aspects of an improvement initiative'];Use the four dimensions of service management to ensure coordination of all aspects of an improvement initiative;management
335;What impact does automation have on a service desk?;['Less low level work and a greater ability to focus on user experience', 'Increased phone contact and a reduced ability to focus on user experience', 'Ability to work from multiple locations, geographically dispersed', 'Ability to work from a single centralised location'];Less low level work and a greater ability to focus on user experience;service desk
336;What aspect of 'service level management' asks service consumers what their work involves and how technology helps them?;['Customer engagement', 'Operational metrics', 'Business metrics', 'Customer feedback'];Customer engagement;management
337;What can be used to determine if a service is 'fit for purpose'?;['Availability', 'Warranty', 'Outcome', 'Utility'];Utility;service
338;In service relationships, what is a benefit of identifying consumer roles?;['It enables effective stakeholder management', 'It provides shared service expectations', 'It removes constraints from the customer', 'It enables a common definition of value'];It enables effective stakeholder management;management
339;What varies in size and complexity, and uses functions to achieve its objectives?;['A risk', 'An organization', 'A practice', 'An outcome'];An organization;service
340;Which includes governance, management practices, and continual improvement?;"['The service value system', ""The 'deliver and support' value chain activity"", ""The 'focus on value' guiding principle"", ""The 'value stream and processes' dimension""]";The service value system;value chain
341;Which statement about service requests is CORRECT?;['Complex service requests should be dealt with as normal changes', 'Service requests that require simple workflows should be dealt with as incidents', 'Service requests require workflows that should use manual procedures and avoid automation', 'Service requests are usually formalized using standard procedures for initiation, approval and fulfilment'];Service requests are usually formalized using standard procedures for initiation, approval and fulfilment;service
342;Which dimension focuses on relationships with other organizations that are involved in the design, development, deployment and delivery of services?;['Organizations and people', 'Information and technology', 'Partners and suppliers', 'Value streams and processes'];Partners and suppliers;service
343;What is defined as a change of state that has significance for the management of an IT service?;['Event', 'Incident', 'Problem', 'Known error'];Event;management
344;What can be described as an operating model for the creation and management of products and services?;['Governance', 'Service value chain', 'Guiding principles', 'Practices'];Service value chain;value chain
345;Which is a low risk change that has been pre-approved so that no additional authorization is needed?;['A standard change', 'A change model', 'An emergency change', 'A normal change'];A standard change;chenge
346;Which describes the 'plan' value chain activity?;['It ensures a shared understanding of the current status and vision for all products and services across the organization', 'It ensures that services are delivered and supported according to agreed specifications and stakeholders expectations', 'It ensures that service components are available when and where they are needed, and meet agreed specifications', 'It ensures continual improvement of products, services, and practices across all value chain activities'];It ensures a shared understanding of the current status and vision for all products and services across the organization;value chain
347;Which phase of problem management includes analysing incidents to look for patterns and trends?;['Problem identification', 'Problem control', 'Error control', 'Post-implementation review'];Problem identification;problem/incident/emergency
348;Which statement about the 'optimize and automate' guiding principle is CORRECT?;['Activities should be automated before they are optimized', 'Automation is best applied to non-standard tasks', 'Technology eliminates the need for human intervention', 'Automation frees human resources for more complex activities'];Automation frees human resources for more complex activities;guiding principle
349;Which MOST helps an organization adapt ITIL concepts so that they apply to the organization's specific circumstances?;['Continual improvement', 'Service value chain', 'Practices', 'Guiding principles'];Continual improvement;guiding principle
350;What is the MAIN benefit of 'problem management'?;['Restoring normal service as quickly as possible', 'Reducing the number and impact of incidents', 'Maximizing the number of successful changes', 'Managing workarounds and known errors'];Managing workarounds and known errors;problem/incident/emergency
351;Which guiding principle discourages 'silo activity'?;['Focus on value', 'Start where you are', 'Collaborate and promote visibility', 'Keep it simple and practical'];Collaborate and promote visibility;guiding principle
352;Which practice facilitates operational communication between the service provider organization and users in the service consumer organization?;['Service level management', 'Relationship management', 'Service desk', 'Monitoring and event management'];Service desk;service desk
353;Which dimension considers the application of artificial intelligence to service management?;['Organizations and people', 'Information and technology', 'Partners and suppliers', 'Value streams and processes'];Information and technology;management
354;Which type of change is MOST LIKELY to be initiated as part of the 'service request management' practice?;['A normal change', 'An emergency change', 'A standard change', 'A change model'];A standard change;management
355;Which benefit is MOST aligned with the guiding principle 'progress iteratively with feedback'?;"['Service providers are able to respond more quickly to customer needs', ""Bottlenecks in the service provider's workflow are identified."", ""The complexities of the service provider's IT systems are identified."", 'The service provider gains a better understanding of the customer experience.']";Service providers are able to respond more quickly to customer needs;guiding principle
356;Which costs are included in the value proposition of a service?;['Additional expense that the service consumer has because they are using the service', 'Money that the service consumer no longer needs to spend because they are using the service', 'Tangible or intangible results for the service consumer because they are using the service', 'The benefits, usefulness. and importance of the service that are perceived by the service consumer'];The benefits, usefulness. and importance of the service that are perceived by the service consumer;service
357;Which practice provides a communications point for users to report operational issues, queries and requests?;['Incident management', 'Continual improvement', 'Service desk', 'Relationship management'];Service desk;service desk
358;Which BEST describes the purpose of the 'improve' value chain activity?;['To organize a major improvement initiative into several smaller initiatives', 'To make new and improved services and features available for use', 'To ensure a shared understanding of the vision and improvement direction for all products and services', 'To continually improve all products and services across all value chain activities'];To continually improve all products and services across all value chain activities;value chain
359;Identify the missing word in the following sentence.<br>A [?] is the addition, modification, or removal of anything that could have a direct or indirect effect on services;['problem', 'risk', 'change', 'configuration item'];change;service
360;Which dimension is MOST concerned with skills, competencies, roles and responsibilities?;['Organizations and people', 'Information and technology', 'Partners and suppliers', 'Value streams and processes'];Value streams and processes;value chain
361;Which practice improves customer and user satisfaction by reducing the negative impact of service interruptions?;['Service request management', 'Service level management', 'Incident management', 'Change management'];Incident management;problem/incident/emergency
362;Which of the four dimensions include, the knowledge bases needed to deliver and manage services?;['Organizations and people', 'Information and technology', 'Partners and suppliers', 'Value streams and processes'];Information and technology;service
363;Which statement about the 'continual improvement model' is CORRECT?;['Organizations should work through the steps of the model in the sequence in which they are presented', 'The low of the model helps organizations to link improvements to its goals', 'The model is applicable to only certain parts of the service value system', 'Organizations should use an additional model or method to link improvements to customer value'];Organizations should work through the steps of the model in the sequence in which they are presented;guiding principle
364;Which describes a CORRECT approach to change authorization?;['Changes included in the change schedule are pre-authorized and do not need additional authorization', 'formal changes should be assessed and authorized before they are deployed', 'Emergency changes should be authorized by as many people as possible to reduce risk', 'formal changes are typically implemented as service requests and authorized by the service desk'];formal changes should be assessed and authorized before they are deployed;chenge
365;Which activity contributes to the 'where are we now?' step of the 'continual improvement' model?;['Executing improvement actions', 'Performing baseline assessments', 'Defining the improvement plan', 'Understanding the business mission'];Performing baseline assessments;guiding principle
366;Which describe a 'change authority'?;['a model used to determine who will assess a change', 'A person who approves a change', 'A tool used to help plan changes', 'A way to manage the people aspects of change'];A person who approves a change;chenge
367;Which statement about output is correct?;['They consist of several outcomes.', 'They capture customer demand for services', 'They contribute to the achievement of outcomes', 'They describes how the service performs.'];They contribute to the achievement of outcomes;service
368;Which statement about outcomes is CORRECT?;['Outcomes rely on outputs to deliver results for a stakeholder.', 'Outcomes use activities to produce tangible or intangible deliverables.', 'Outcomes gives service consumers assurance of products or services', 'Outcomes help a service consumers to assess the cost of a specific activity'];Outcomes rely on outputs to deliver results for a stakeholder.;service
369;Which is an activity of the 'problem management' practice?;['Restoration of normal service operation as quickly as possible', 'Prioritization of problems based on the risk that they pose', 'Authorization of changes to resolve the cause of problems.', 'Resolution of incidents in a time that meet customer expectations'];Prioritization of problems based on the risk that they pose;problem/incident/emergency
370;Which practice has the purpose of ensuring that the organization's suppliers and their performance and managed appropriately to support the provision of seamless, quality products and services?;['Release management', 'Supplier management', 'Service management', 'Relationship management'];Supplier management;management
371;Which will help solve incidents more quickly?;['Target resolution times', 'Escalating all incidents to support teams', 'Collaboration between teams', 'Detailed procedural steps for incident investigation'];Collaboration between teams;problem/incident/emergency
372;Which practice is most likely to benefit from the use of chatbots?;['Service level management', 'Change enablement', 'Continual improvement', 'Service desk'];Service desk;service desk
373;Where are the details of the required performance outcomes of a service denned?;['Service level agreements', 'Service requests', 'Service components', 'Service offerings'];Service level agreements;service
374;Which value chain activity ensures a shared understanding of the current status and required direction for all products and services?;['Plan', 'Improve', 'Design and transition', 'Deliver and support'];Plan;value chain
375;Which two practices interact the MOST with the service desk practice?;['Incident management and service request management', 'Service request management and deployment management', 'Deployment management and change enablement', 'Change enablement and incident management'];Incident management and service request management;problem/incident/emergency
376;What type of change is MOST likely to be managed as a service request?;['A standard change', 'A normal change', 'An emergency change', 'An organizational change'];A normal change;chenge
377;"Which is an activity of the 'incident management"" practice?";['Assessing and prioritizing improvement opportunities', 'Performing service reviews with customers', 'Providing good-quality updates when expected', 'Automating service requests to the greatest degree possible'];Assessing and prioritizing improvement opportunities;problem/incident/emergency
378;Which principle concentrates on service consumers?;['Start where you are', 'Optimize and automate', 'Keep it simple', 'Focus on value'];Focus on value;guiding principle
379;Which is included in the purpose of the 'change enablement' practice?;['Make new and changed services available for use', 'Ensure that risks have been property assessed', 'Record and report selected changes of state', 'Plan and manage the full lifecycle of all IT assets'];Ensure that risks have been property assessed;chenge
380;Which activity is part of the 'continual improvement' practice?;['Identifying the cause of incidents and recommending related improvements', 'Authorizing changes to implement improvements', 'Logging and managing incidents that result in improvement opportunities', 'Making business cases for improvement action'];Identifying the cause of incidents and recommending related improvements;guiding principle
381;Which practice ensures that any addition, modification, or removal of anything that could have an effect on services is assessed and authorized?;['Deployment management', 'Release management', 'Change enablement', 'Service configuration management'];Change enablement;service
382;Which is the BEST example of a standard change?;['The review and authorization of a change requested by a customer', 'The implementation of a critical software patch in response to a vendor security Issue', 'The Installation of a software application in response to a service request', 'The replacement of a component in response to a major incident'];The Installation of a software application in response to a service request;chenge
383;Which can act as an operating model for an organization?;['The four dimensions of service management', 'The service value chain', 'The ITIL guiding principles', 'Continual improvement'];The service value chain;value chain
384;Which practice recommends the use of event-based surveys to gather feedback from customers?;['Service level management', 'Change enablement', 'Service request management', 'Problem management'];Service level management;management
385;Which guiding principle leads to a faster response to customer needs by timeboxing activities and learning from the outputs of previous activities?;['Focus on value', 'Progress iteratively with feedback', 'Collaborate and promote visibility', 'Optimize and automate'];Progress iteratively with feedback;guiding principle
386;Which practice has a purpose that deludes maximizing the number of successful additions modifications, or removals of anything that could have an effect on a service?;['Service request management', 'Incident management', 'Service desk', 'Change enablement'];Change enablement;service
387;In which situation will incident management USUALLY use a separate process?;['Where no target resolution time exists', 'For low impact incidents', 'Where the cause must be diagnosed', 'For information security incidents'];For information security incidents;problem/incident/emergency
388;Which practice minimizes the impact on normal service operation by managing resources in response to unplanned reductions in service quality?;['Incident management', 'Change enablement', 'Service level management', 'Continual improvement'];Incident management;problem/incident/emergency
389;Which practice makes use of methods from Lean. Agile and DevOps?;['Service desk', 'Continual improvement', 'Problem management', 'Incident management'];Continual improvement;guiding principle
390;Which statement about service offerings is CORRECT?;['The same product can be used as a basis for more than one service offering', 'Service offerings include the transfer of goods from the consumer to the prowler', 'Service offerings describe how providers and consumers cooperate to co-create value', 'Each service should be described to consumers as a single service offering'];The same product can be used as a basis for more than one service offering;service
391;Which is a use of a change schedule?;['Speeding up the planning and authorization of emergency changes', 'Providing information about deployed changes to help manage incidents and problems', 'Providing a means of initiating and assessing normal changes', 'Tracking and managing improvement ideas from identification through to final action'];Providing information about deployed changes to help manage incidents and problems;problem/incident/emergency
392;Which statement about value streams is CORRECT?;['Each value stream must include all six value chain activities', 'Each value stream must be designed for a specific scenario', 'Each value stream must include all 34 ITIL practices', 'Each value stream must include suppliers or partners'];Each value stream must be designed for a specific scenario;value chain
393;Why should a service level manager carry out regular service reviews?;['To ensure that agreements are written simply and are easy to understand', 'To collect information about service consumer goals and objectives', 'To capture information about service issues and performance against agreed goals', 'To ensure continual improvement of services, so that they meet the evolving needs of service consumers'];To capture information about service issues and performance against agreed goals;service
394;A flaw in an application could cause a service to fail IT staff are actively analysing the application to try and understand what is going on. What is the correct name for this type of flaw?;['Problem', 'Incident', 'Event', 'Known error'];Problem;problem/incident/emergency
395;Which value chain activity ensures that ongoing service activity meets user expectations?;['Plan', 'Engage', 'Obtain/build', 'Deliver and support'];Deliver and support;value chain
396;Which practice's purpose includes creating closer more collaborative relationships?;['Supplier management', 'Information security management', 'Release management', 'Service configuration management'];Supplier management;management
397;Which TWO are inputs to the service value system?<br>1. Demand<br>2. Products<br>3. Value<br>4. Opportunity;['1 and 2', '2 and 3', '3 and 4', '1 and 4'];1 and 4;service
398;What role would be MOST suitable for someone with tots of experience working in IT and business roles? They also have experience of managing relationships with various stakeholders, including suppliers and business managers.;['Service level manager', 'Service desk agent', 'Change authority', 'Problem analyst'];Service level manager;service
399;Which is the addition, modification or removal of anything that could have an effect on services?;['A change', 'An event', 'An incident', 'A problem'];A change;service
400;Which guiding principle recommends consideration of the four dimensions in order to make something as effective and as useful as it needs to be?;['Focus on value', 'Start where you are', 'Think and work holisocally', 'Optimize and automate'];Optimize and automate;guiding principle
401;Which practice is MOST LIKELY to make use of artificial intelligence, robotic process automation, and chatbots?;['Service desk', 'Continual improvement', 'Problem management', 'Incident management'];Service desk;service desk
402;What is a problem that has been analysed but has not been resolved?;['Workaround', 'Incident', 'Known error', 'Event'];Known error;problem/incident/emergency
403;Which facilitates outcomes that customers want to achieve?;['Service', 'Warranty', 'Organization', 'IT asset'];Service;service
404;Which practice recommends that organizations develop competencies in techniques such as strength, weakness, opportunity, and threat (SWOT) analysis, and balanced scorecards?;['Incident management', 'Continual improvement', 'Service request management', 'Change enablement'];Continual improvement;guiding principle
405;Which ITIL concept helps an organization to make good decisions?;['Four dimensions of service management', 'Guiding principles', 'Service value chain', 'Practices'];Guiding principles;guiding principle
406;Which is a recommendation for applying the guiding principle 'keep it simple and practical?;['Communicate in a way the audience can hear', 'Sometimes nothing from the current state can be re used', 'If a practice is easier to follow it is more likely to be adopted', 'Fast does not mean incomplete'];If a practice is easier to follow it is more likely to be adopted;guiding principle
407;Which practice has a purpose that includes responding to conditions that could lead to potential faults or incidents?;['Incident management', 'Service request management', 'Monitoring and event management', 'Change enablement'];Monitoring and event management;problem/incident/emergency
408;What role would be MOST suitable for a new graduate with great levels of empathy and understanding of business issues? They also have good communication skills, high emotional intelligence, and a broad understanding of IT technology.;['Service level manager', 'Service desk agent', 'Change authority', 'Problem analyst'];Service desk agent;service desk
409;Which practice nurtures links with stakeholders at strategic and tactical levels'?;['Supplier management', 'Relationship management', 'Continual improvement', 'Service level management'];Relationship management;management
410;Which is a way of applying the guiding principle 'focus on value'?;['Understanding how service consumers use services', 'Comprehending the whole, but doing something', 'Recognizing the complexity of systems', 'Doing fewer things, but doing them better'];Understanding how service consumers use services;guiding principle
411;Which of the following is NOT recommended by the guiding principle 'start where you are?;['Asking questions that appear to be stupid', 'Identifying what is available to be leveraged', 'Building something completely new', 'Collecting data directly from the source'];Building something completely new;guiding principle
412;Which is a use of a continual improvement register?;['Planning changes, assisting in communication, avoiding conflicts, and assigning resources', 'Selecting the right method, model or technique for identifying improvements', 'Tracking and managing improvement ideas from identification through to final action', 'Describing the services designed to meet the needs of a consumer group'];Tracking and managing improvement ideas from identification through to final action;guiding principle
413;Which practice uses pre-defined, standardized procedures to enable fulfilment times to be clearly communicated?;['Incident management', 'Service level management', 'Problem management', 'Service request management'];Service request management;service desk
414;Which TWO of the following are considerations of change enablement?<br>1. Managing the people aspects of change<br>2. Ensuring that organizational transformations are successful<br>3. Maximizing the number of successful service changes<br>4. Ensuring that changes are properly assessed;['1 and2', '2 and 3', '3 and 4', '1 and 4'];3 and 4;chenge
415;How can a service consumer contnbute to the reduction of nsk?;"['By providing the service in accordance with requirements', ""By ensuring that the service provider's resources are correctly configured"", 'By fully understanding then own requirements for the service', 'By managing the detailed level of risk on behalf of the service provider']";By fully understanding then own requirements for the service;service
416;In which case would a problem be logged?;['When the cause is identified but not resolved', 'After analysis of error information from a supplier', 'When a user reports an unplanned service interruption', 'Alter a workaround is identified and documented'];When the cause is identified but not resolved;problem/incident/emergency
417;Which practice helps to ensure that the services delivered to customers are aligned with their needs?;['Service request management', 'Change enablement', 'Problem management', 'Service level management'];Service level management;management
418;Which service request management decisions require that policies are established'?;['Deciding how degradations of service are resolved', 'Deciding how to handle service requests where the steps are unknown', 'Deciding which service requests require approval', 'Deciding when workarounds should be used'];Deciding which service requests require approval;service desk
419;Which dimension of service management considers how activities are coordinated?;['Organizations and people', 'Information and technology', 'Partners and suppliers', 'Value streams and processes'];Value streams and processes;value chain
420;A user contacts the service desk to ask how they can create a report. Which practice is MOST LIKELY to contribute to resolving this issue?;['Incident management', 'Service level management', 'Service request management', 'Change enablement'];Service request management;service desk
421;Which practices is MOST associate with the use of empathy to understand users?;['Service desk', 'Continual improvement', 'Service level management', 'Change enablement'];Service desk;service desk
422;Identify the missing word in the following sentence.<br>A customer define is the [?] for a service and takes responsibility for the outcomes of service consumption.;['Requirements', 'Resources', 'Suppliers', 'products'];Requirements;service
423;Which of the following is included in the purpose of the 'continual improvement' printer?;"['The restoration of normal service operation as quickly as possible', 'The establishment of Inks between the organization and its stakeholders at strategic and tactical levels', ""The alignment of the organization's practices and services with changing business needs"", 'The reduction of the likelihood and impact of incidents']";The alignment of the organization's practices and services with changing business needs;guiding principle
424;Which is an example are problem control activity?;['Reviewing incident records to identify trends', 'Implementing a technical fix to resolve an issue', 'Re-assessing a known error to understand the ongoing impact', 'Documenting the steps in a workaround'];Documenting the steps in a workaround;problem/incident/emergency
425;Which of the following is the MOST important 'or effective incident management?;['Collaboration tools and techniques', 'Balanced scorecard review', 'Automated pipelines', 'A variety of access channels'];Collaboration tools and techniques;problem/incident/emergency
426;Which practice handles all pre-defined user-initiated service actions?;['Deployment management', 'Incident management', 'Service level management', 'Service request management'];Service request management;service desk
427;Which is an example o' a service request?;['A request for normal operation to be restored', 'A request to implement a security patch', 'A request tor access to a file', 'A request to investigate the cause of an incident'];A request tor access to a file;service
428;When using the ITIL continual improvement model, which information should be produced by an organization in order to understand where the organization is now?;['Business objectives', 'Improvement plans', 'Assessment results', 'KPI reports'];KPI reports;guiding principle
429;Which TWO types of competence are MOST important for service desk staff?<br>1. Knowledge of business processes<br>2. Collaboration skills<br>3. Advanced technical knowledge<br>4. Workflow design skills;['1 and 2', '2 and 3', '3 and 4', '1 and 4'];1 and 2;service desk
